Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,Notes
BVR,2014,2014-04-04 12:00:00,0,244,16,4.15,7.42,4.48,,,,,,,,
BVR,2014,2014-04-04 12:00:00,4,225,15.1,3.86,8.96,3.75,,,,,,,,
BVR,2014,2014-04-04 12:00:00,8,224,12,2.81,7.01,4.27,,,,,,,,
BVR,2014,2014-04-04 12:00:00,12,211,16.5,1.24,6.69,1.23,,,,,,,,
BVR,2014,2014-04-16 12:00:00,0,347,13.5,2.2,7.43,2.8,,,,,4.316594,,,
BVR,2014,2014-04-16 12:00:00,4,326,15.8,2.99,14.3,3.44,2.241,2.318,,,4.161904,,,
BVR,2014,2014-04-16 12:00:00,8,279,15.8,3.22,14,5.6,2.221,2.392,,,5.516232,,,
BVR,2014,2014-04-16 12:00:00,12,295,11,2.38,25.1,3.02,2.333,2.357,,,3.113392,,,
BVR,2014,2014-04-30 12:00:00,0,195,7.35,77.1,49.2,5.85,0.203,1.909,,,-0.028306,,,
BVR,2014,2014-04-30 12:00:00,4,206,6.14,6.12,12.8,6.43,2,1.815,,,3.969002,,,
BVR,2014,2014-04-30 12:00:00,8,191,9.22,2.07,12.5,8.49,,,,,,,,
BVR,2014,2014-04-30 12:00:00,12,320,19.9,5.44,77.2,3.21,,,,,,,,
BVR,2014,2014-05-14 12:00:00,0,202,9.58,2.29,7.71,3.85,2.126,2.296,,,4.804389,,,*wrong filter size for all solubles taken on this date
BVR,2014,2014-05-14 12:00:00,4,211,9.1,3.09,6.72,-1.76,2.083,2.225,,,7.605824,,,
BVR,2014,2014-05-14 12:00:00,8,182,7.56,3.06,10.6,3.78,2.119,2.012,,,1.967992,,,
BVR,2014,2014-05-14 12:00:00,12,219,6.96,2.48,58.3,3.85,2.077,2.143,,,1.967992,,,
BVR,2014,2014-05-29 12:00:00,0,199,5.92,3,3.18,3.38,,,,,6.571912,,,
BVR,2014,2014-05-29 12:00:00,4,192,6.51,2.68,6.27,3.75,2.214,2.253,,,10.128018,,,
BVR,2014,2014-05-29 12:00:00,8,160,5.76,3.81,5.07,4.35,,,,,,,,
BVR,2014,2014-05-29 12:00:00,12,378,26.8,4.88,58,1.69,2.923,2.239,,,1.813742,,,
BVR,2014,2014-06-04 12:00:00,0,171,4.75,119,4.79,2.88,2.314,2.313,,,5.419934,,,
BVR,2014,2014-06-04 12:00:00,4,166,5.24,2.68,7.01,3.19,2.365,2.158,,,8.97604,,,
BVR,2014,2014-06-04 12:00:00,8,169,4.26,6.76,5.77,3.02,2.54,1.79,,,3.987152,,,
BVR,2014,2014-06-04 12:00:00,12,696,30.5,NA,377,3.91,3.81,2.736,,,3.616838,,,
BVR,2014,2014-06-18 12:00:00,0,150.56,8.49,2.3,6.43,3.95,2.26,2.117,,,3.616838,,,
BVR,2014,2014-06-18 12:00:00,4,136.68,7.63,2.01,5.41,2.66,2.479,2.24,,,4.668644,,,
BVR,2014,2014-06-18 12:00:00,8,125.94,8.83,2.26,8.52,3.05,,,,,,,,
BVR,2014,2014-06-18 12:00:00,12,1304.6,37.2,13.2,1040,3.23,4.351,3.959,,,3.59396,,,
BVR,2014,2014-06-25 12:00:00,0,231,13.6,3.43,2.91,2.55,2.27,2.232,,,8.425094,,,
BVR,2014,2014-06-25 12:00:00,4,253,15.5,3.44,4.43,3.33,2.53,2.344,,,3.817182,,,
BVR,2014,2014-06-25 12:00:00,8,221,21.3,2.46,4.17,1.65,,,,,,,,
BVR,2014,2014-06-25 12:00:00,12,,,13.1,1780,2.59,5.827,4.104,,,4.099349,,,
BVR,2014,2014-07-02 12:00:00,0,266,13.7,6.51,6.2,1.22,2.453,2.562,,,5.647296,,,
BVR,2014,2014-07-02 12:00:00,4,215,12.2,5.19,11.9,1.36,2.573,2.338,,,4.773536,,,
BVR,2014,2014-07-02 12:00:00,8,538,62.3,5.22,10.3,0.7,2.788,1.724,,,3.943464,,,
BVR,2014,2014-07-02 12:00:00,12,1710,49,24.2,1380,5.26,5.766,3.352,,,2.458072,,,
BVR,2014,2014-07-09 12:00:00,0,247,13.1,7,3.41,0.841,2.369,2.448,,,8.530704,,,
BVR,2014,2014-07-09 12:00:00,4,209,12.9,8.53,4.06,1.41,2.477,2.412,,,4.24928,,,
BVR,2014,2014-07-09 12:00:00,8,419,40.4,7.43,4.68,0.645,2.872,1.785,,,2.807576,,,
BVR,2014,2014-07-09 12:00:00,12,1720,50.2,31.8,1340,6.53,5.284,2.905,,,3.200768,,,
BVR,2014,2014-07-16 12:00:00,0,254.43,13,6.54,1.94,1.47,1.953,2.571,,,3.8124,,,
BVR,2014,2014-07-16 12:00:00,4,205.27,13.7,4.06,4.82,1.24,2.619,2.54,,,2.763888,,,
BVR,2014,2014-07-16 12:00:00,8,320.25,29.7,5.8,1.69,1.77,3.169,1.907,,,6.040488,,,
BVR,2014,2014-07-16 12:00:00,12,950.04,32.3,17,658,3.41,4.6,2.801,,,2.982328,,,
BVR,2014,2014-07-23 12:00:00,0,248,12.6,6.8,3.88,-0.206,,,,,,,,
BVR,2014,2014-07-23 12:00:00,4,240,15.8,6.45,5.15,1.03,,,,,,,,
BVR,2014,2014-07-23 12:00:00,8,338,33,6.95,6.9,1.48,,,,,,,,
BVR,2014,2014-07-23 12:00:00,12,2160,68.4,,,,,,,,,,,
BVR,2014,2014-07-30 12:00:00,0,,,4.42,37.6,4.64,,,,,,,,
BVR,2014,2014-07-30 12:00:00,4,157.59,10.4,3.85,11.9,3.49,2.653,2.282,,,5.647296,,,
BVR,2014,2014-07-30 12:00:00,8,313.13,26.3,4,24.2,1.91,3.633,1.924,,,2.28332,,,
BVR,2014,2014-07-30 12:00:00,12,845.79,26.7,9.34,543,2.95,4.961,2.25,,,2.632824,,,
BVR,2014,2014-08-13 12:00:00,0,166.71,8.46,4.69,3.79,4.94,,,,,,,,
BVR,2014,2014-08-13 12:00:00,4,162.65,8.66,4.36,2.74,2.72,,,,,,,,
BVR,2014,2014-08-13 12:00:00,8,,,4.44,46.5,2.48,,,,,,,,
BVR,2014,2014-08-13 12:00:00,12,1009.21,21,9.59,745,1.8,,,,,,,,
BVR,2014,2014-09-04 12:00:00,0,181,9.8,6,7.6,3.9,2.411,2.899,,,8.574596,,,
BVR,2014,2014-09-04 12:00:00,4,165,11,3.3,23.9,0.2,2.712,2.739,,,4.142798,,,
BVR,2014,2014-09-04 12:00:00,8,521,32.6,3.7,36,1.9,4.696,2.37,,,4.620737,,,
BVR,2014,2014-09-04 12:00:00,12,1570,28.1,11.6,1050,3.5,6.754,2.526,,,4.229696,,,
BVR,2014,2014-09-25 12:00:00,0,163,8.18,3.7,8.9,0.8,2.659,2.237,,,6.966983,,,
BVR,2014,2014-09-25 12:00:00,4,166,7.89,5.3,6.2,1.7,2.642,2.08,,,8.922188,,,
BVR,2014,2014-09-25 12:00:00,8,337,19.1,4,55.3,,3.803,2.076,,,4.533839,,,
BVR,2014,2014-09-25 12:00:00,12,1900,32.3,14.2,1590,6,5.84,2.189,,,4.968329,,,
