Reservoir,Year,Date,Depth,pH,PAR,Notes
BVR,2014,2014-07-02 12:00:00,11,6.63,0.01361,
BVR,2014,2014-07-02 12:00:00,10,6.33,0.3041,
BVR,2014,2014-07-02 12:00:00,9,6.33,1.34,
BVR,2014,2014-07-02 12:00:00,8,6.42,3.71,
BVR,2014,2014-07-02 12:00:00,7,6.55,6.71,
BVR,2014,2014-07-02 12:00:00,6,6.64,10.61,
BVR,2014,2014-07-02 12:00:00,5,6.76,15.92,
BVR,2014,2014-07-02 12:00:00,4,7.25,26.59,
BVR,2014,2014-07-02 12:00:00,3,7.49,44.12,
BVR,2014,2014-07-02 12:00:00,2,7.6,59.79,
BVR,2014,2014-07-02 12:00:00,1,7.52,83.88,
BVR,2014,2014-07-02 12:00:00,0.1,7.58,340,
BVR,2014,2014-05-29 12:00:00,0.1,7.66,,
BVR,2014,2014-05-29 12:00:00,1,7.74,,
BVR,2014,2014-05-29 12:00:00,2,7.69,,
BVR,2014,2014-05-29 12:00:00,3,7.65,,
BVR,2014,2014-05-29 12:00:00,4,7.45,,
BVR,2014,2014-05-29 12:00:00,5,7.13,,
BVR,2014,2014-05-29 12:00:00,6,6.82,,
BVR,2014,2014-05-29 12:00:00,7,6.45,,
BVR,2014,2014-05-29 12:00:00,8,6.31,,
BVR,2014,2014-05-29 12:00:00,9,6.21,,
BVR,2014,2014-05-29 12:00:00,10,6.07,,
BVR,2014,2014-05-29 12:00:00,11,5.99,,
BVR,2014,2014-05-29 12:00:00,12,5.93,,
BVR,2014,2014-06-18 12:00:00,0.1,7.57,,
BVR,2014,2014-06-18 12:00:00,1,7.42,,
BVR,2014,2014-06-18 12:00:00,2,7.38,,
BVR,2014,2014-06-18 12:00:00,3,7.35,,
BVR,2014,2014-06-18 12:00:00,4,6.95,,
BVR,2014,2014-06-18 12:00:00,5,6.69,,
BVR,2014,2014-06-18 12:00:00,6,6.55,,
BVR,2014,2014-06-18 12:00:00,7,6.5,,
BVR,2014,2014-06-18 12:00:00,8,6.37,,
BVR,2014,2014-06-18 12:00:00,9,6.35,,
BVR,2014,2014-06-18 12:00:00,10,6.27,,
BVR,2014,2014-06-18 12:00:00,11,6.27,,
BVR,2014,2014-06-18 12:00:00,12,6.65,,
BVR,2014,2014-06-25 12:00:00,0.1,7.66,,
BVR,2014,2014-06-25 12:00:00,1,7.42,,
BVR,2014,2014-06-25 12:00:00,2,7.37,,
BVR,2014,2014-06-25 12:00:00,3,7.33,,
BVR,2014,2014-06-25 12:00:00,4,7.09,,
BVR,2014,2014-06-25 12:00:00,5,6.72,,
BVR,2014,2014-06-25 12:00:00,6,6.58,,
BVR,2014,2014-06-25 12:00:00,7,6.53,,
BVR,2014,2014-06-25 12:00:00,8,6.47,,
BVR,2014,2014-06-25 12:00:00,9,6.35,,
BVR,2014,2014-06-25 12:00:00,10,6.34,,
BVR,2014,2014-06-25 12:00:00,11,6.75,,
BVR,2014,2014-06-25 12:00:00,12,6.86,,
BVR,2014,2014-07-02 12:00:00,12,N/A,,
BVR,2014,2014-07-09 12:00:00,0.1,7.89,,
BVR,2014,2014-07-09 12:00:00,1,7.75,,
BVR,2014,2014-07-09 12:00:00,2,7.53,,
BVR,2014,2014-07-09 12:00:00,3,7.45,,
BVR,2014,2014-07-09 12:00:00,4,6.99,,
BVR,2014,2014-07-09 12:00:00,5,6.68,,
BVR,2014,2014-07-09 12:00:00,6,6.52,,
BVR,2014,2014-07-09 12:00:00,7,6.45,,
BVR,2014,2014-07-09 12:00:00,8,6.38,,
BVR,2014,2014-07-09 12:00:00,9,6.36,,
BVR,2014,2014-07-09 12:00:00,10,6.43,,
BVR,2014,2014-07-09 12:00:00,11,6.55,,
BVR,2014,2014-07-23 12:00:00,0,7.95,,
BVR,2014,2014-07-23 12:00:00,1,7.58,,
BVR,2014,2014-07-23 12:00:00,2,7.44,,
BVR,2014,2014-07-23 12:00:00,3,7.39,,
BVR,2014,2014-07-23 12:00:00,4,6.6,,
BVR,2014,2014-07-23 12:00:00,5,6.47,,
BVR,2014,2014-07-23 12:00:00,6,6.39,,
BVR,2014,2014-07-23 12:00:00,7,6.39,,
BVR,2014,2014-07-23 12:00:00,8,6.34,,
BVR,2014,2014-07-23 12:00:00,10,,,
BVR,2014,2014-07-23 12:00:00,11,,,
BVR,2014,2014-07-23 12:00:00,12,,,
BVR,2014,2014-09-25 12:00:00,0,6.3,,
BVR,2014,2014-09-25 12:00:00,1,,,
BVR,2014,2014-09-25 12:00:00,2,,,
BVR,2014,2014-09-25 12:00:00,3,,,
BVR,2014,2014-09-25 12:00:00,4,6.35,,
BVR,2014,2014-09-25 12:00:00,5,,,
BVR,2014,2014-09-25 12:00:00,6,,,
BVR,2014,2014-09-25 12:00:00,7,,,
BVR,2014,2014-09-25 12:00:00,8,5.8,,
BVR,2014,2014-09-25 12:00:00,9,,,
BVR,2014,2014-09-25 12:00:00,10,5.9,,
BVR,2014,2014-09-25 12:00:00,11,,,
BVR,2014,2014-09-25 12:00:00,12,,,
