Reservoir,Year,Date,Depth,Secchi_m,notes
GWR,2016,2016-04-06 17:00:00,NA,2.7,NA
GWR,2016,2016-04-13 16:00:00,NA,3.2,NA
GWR,2016,2016-04-29 12:30:00,NA,3.7,NA
GWR,2016,2016-04-29 19:05:00,NA,3.4,NA
GWR,2016,2016-04-30 00:00:00,NA,0,Night sampling
GWR,2016,2016-04-30 02:00:00,NA,0,Night sampling
GWR,2016,2016-04-30 06:47:00,NA,3,NA
GWR,2016,2016-04-30 11:55:00,NA,3.1,NA
GWR,2016,2016-05-13 14:30:00,NA,3,NA
GWR,2016,2016-05-25 13:00:00,NA,3.75,NA
GWR,2016,2016-06-10 11:30:00,NA,3.2,NA
GWR,2016,2016-06-25 12:30:00,NA,3.6,NA
GWR,2016,2016-06-25 19:05:00,NA,2,Night sampling
GWR,2016,2016-06-26 00:00:00,NA,1.4,Night sampling
GWR,2016,2016-06-26 02:00:00,NA,1.9,Night sampling
GWR,2016,2016-06-26 06:47:00,NA,3.5,NA
GWR,2016,2016-06-26 11:55:00,NA,4,NA
GWR,2016,2016-07-08 10:00:00,NA,3.8,NA
GWR,2016,2016-07-22 13:00:00,NA,4.4,NA
GWR,2016,2016-08-09 11:00:00,NA,3.3,NA
GWR,2016,2016-08-24 15:50:00,NA,3.2,NA
GWR,2016,2016-09-04 14:35:00,NA,2.8,NA
GWR,2016,2016-09-04 20:12:00,NA,1.75,Night sampling
GWR,2016,2016-09-05 01:10:00,NA,0.83,Night sampling
GWR,2016,2016-09-05 07:05:00,NA,2.7,NA
GWR,2016,2016-09-05 11:36:00,NA,2.7,NA
GWR,2016,2016-09-05 00:13:00,NA,0.83,NA
GWR,2016,2016-09-23 15:15:00,NA,3.3,NA
GWR,2016,2016-10-03 09:00:00,NA,3.3,NA
