Reservoir,Year,Date,Depth,YSI_TEMP,YSI_DOSAT,YSI_DO,YSI_COND,YSI_pH,PAR
GWR,2013,2013-09-17 11:30:00,0,21.9,NA,NA,NA,NA,NA
GWR,2013,2013-09-17 11:30:00,1,22,NA,NA,NA,NA,NA
GWR,2013,2013-09-17 11:30:00,2,22,NA,NA,NA,NA,NA
GWR,2013,2013-09-17 11:30:00,3,22,NA,NA,NA,NA,NA
GWR,2013,2013-09-17 11:30:00,4,22,NA,NA,NA,NA,NA
GWR,2013,2013-09-17 11:30:00,5,22,NA,NA,NA,NA,NA
GWR,2013,2013-09-17 11:30:00,6,18.1,NA,NA,NA,NA,NA
GWR,2013,2013-09-17 11:30:00,7,16.1,NA,NA,NA,NA,NA
GWR,2013,2013-09-17 11:30:00,8,13.6,NA,NA,NA,NA,NA
GWR,2013,2013-09-17 11:30:00,9,12.1,NA,NA,NA,NA,NA
GWR,2013,2013-09-17 11:30:00,10,11.4,NA,NA,NA,NA,NA
GWR,2013,2013-09-17 11:30:00,11,10.4,NA,NA,NA,NA,NA
GWR,2013,2013-09-17 11:30:00,12,10,NA,NA,NA,NA,NA
GWR,2013,2013-09-17 11:30:00,13,9.8,NA,NA,NA,NA,NA
