Reservoir,Year,Date,Secchi,notes
BVR,2017,2017-03-17 12:00:00,2.51,
BVR,2017,2017-04-10 10:03:00,3.29,sunny
BVR,2017,2017-05-05 12:17:00,3.15,
BVR,2017,2017-05-10 10:07:00,2.5,overcast
BVR,2017,2017-05-18 10:50:00,3.45,
BVR,2017,2017-05-25 12:39:00,2.14,patchy clouds
BVR,2017,2017-05-30 11:25:00,2.05,
BVR,2017,2017-06-01 10:02:00,2.19,sunny
BVR,2017,2017-06-08 11:55:00,2.18,
BVR,2017,2017-06-15 10:50:00,1.83,
BVR,2017,2017-06-22 10:40:00,1,sunny
BVR,2017,2017-06-29 11:10:00,0.92,sunny
BVR,2017,2017-07-07 12:00:00,0.87,sunny
BVR,2017,2017-07-13 10:35:00,1.26,sunny
BVR,2017,2017-07-20 12:00:00,1.09,sunny + hot
BVR,2017,2017-07-27 11:05:00,0.9,partly cloudy 
BVR,2017,2017-08-03 10:50:00,0.96,sunny
BVR,2017,2017-08-10 10:10:00,1.1,
BVR,2017,2017-08-17 14:42:00,1.17,partly cloudy/hot/still
BVR,2017,2017-08-24 10:48:00,1.15,overcast/cooler
BVR,2017,2017-09-05 14:46:00,1.18,"sunny, some clouds"
BVR,2017,2017-09-19 14:27:00,1.1,sunny
BVR,2017,2017-10-03 14:42:00,1,sunny clear
BVR,2017,2017-10-17 14:40:00,1.07,"sunny,clear,cool"
BVR,2017,2017-11-07 15:10:00,1.05,really foggy
