Reservoir,Year,Date,Site,Secchi,notes
FCR,2017,2017-02-06 09:30:00,50,1.35,
FCR,2017,2017-02-27 12:14:00,50,1.39,
FCR,2017,2017-03-27 09:56:00,50,1.25,
FCR,2017,2017-04-10 12:19:00,50,1.4,
FCR,2017,2017-04-17 10:17:00,50,1.71,
FCR,2017,2017-04-24 11:22:00,50,2,
FCR,2017,2017-05-08 13:10:00,50,1.01,
FCR,2017,2017-05-29 12:40:00,50,1.3,
FCR,2017,2017-05-29 13:53:00,50,1.65,
FCR,2017,2017-05-29 14:44:00,50,1.43,
FCR,2017,2017-05-30 15:18:00,20,1.3,
FCR,2017,2017-05-30 15:32:00,30,1.4,
FCR,2017,2017-05-30 15:46:00,45,1.4,
FCR,2017,2017-05-30 16:08:00,50,1.45,
FCR,2017,2017-06-01 11:45:00,50,1.98,sunny
FCR,2017,2017-06-05 11:25:00,10,1.95,"rainy, MEL"
FCR,2017,2017-06-05 11:38:00,20,2.14,"rainy, MEL"
FCR,2017,2017-06-05 12:00:00,30,2.68,"rainy, MEL"
FCR,2017,2017-06-05 12:19:00,45,2.7,"rainy, MEL"
FCR,2017,2017-06-05 12:40:00,50,2.84,"rainy, MEL"
FCR,2017,2017-06-12 11:15:00,50,3.15,"sunny, DWH"
FCR,2017,2017-06-19 14:10:00,50,2.29,
FCR,2017,2017-06-26 13:15:00,50,2.58,sunny
FCR,2017,2017-07-05 12:00:00,,,wasn't written down
FCR,2017,2017-07-10 11:20:00,50,1.79,sunny
FCR,2017,2017-07-13 14:30:00,50,1.29,
FCR,2017,2017-07-17 12:30:00,50,1.41,
FCR,2017,2017-07-24 10:00:00,50,1.08,
FCR,2017,2017-07-31 12:00:00,50,,wasn't written down
FCR,2017,2017-08-07 14:00:00,50,2.55,"rainy, cloudy "
FCR,2017,2017-08-14 12:00:00,50,2.47,overcast
FCR,2017,2017-08-21 13:01:00,50,2.94,hot-sunny
FCR,2017,2017-08-28 15:15:00,50,2.36,partly cloudy
FCR,2017,2017-09-04 13:00:00,50,1.87,sunny;mild
FCR,2017,2017-09-11 14:30:00,50,1.88,overcast/cooler
FCR,2017,2017-09-25 15:05:00,50,2.5,overcast
FCR,2017,2017-10-23 15:45:00,50,2.2,rain/fog
FCR,2017,2017-11-06 12:00:00,50,2.5,overcast
