DateTime,BVR_wtr_lvl_ft
2013-05-31 12:00:00,0.2
2013-06-14 12:00:00,0.4
2013-06-27 12:00:00,0.4
2013-07-18 12:00:00,0.2
2013-08-16 12:00:00,0.4
2013-08-22 12:00:00,0.2
2013-08-30 12:00:00,0.3
2013-09-10 12:00:00,0.1
2013-09-20 12:00:00,0
2013-10-03 12:00:00,0
2013-10-10 12:00:00,-0.1
2013-10-24 12:00:00,-0.1
2013-11-01 12:00:00,-0.2
2013-11-07 12:00:00,-0.2
2013-11-14 12:00:00,-0.3
2013-12-05 12:00:00,-0.2
2013-12-19 12:00:00,0
2014-01-02 12:00:00,0.1
2014-01-09 12:00:00,0.3
2014-01-17 12:00:00,0.2
2014-02-12 12:00:00,0.3
2014-02-25 12:00:00,0.3
2014-03-10 12:00:00,0.3
2014-03-20 12:00:00,0.3
2014-03-28 12:00:00,0.3
2014-04-11 12:00:00,0.3
2014-04-22 12:00:00,0.2
2014-04-28 12:00:00,0.3
2014-04-30 12:00:00,0.2
2014-05-01 12:00:00,0.2
2014-05-05 12:00:00,0
2014-05-06 12:00:00,-0.1
2014-05-08 12:00:00,-0.15
2014-05-12 12:00:00,-0.25
2014-05-14 12:00:00,-0.1
2014-05-16 12:00:00,-0.2
2014-05-19 12:00:00,-0.25
2014-05-22 12:00:00,-0.3
2014-05-27 12:00:00,-0.45
2014-05-30 12:00:00,-1
2014-06-02 12:00:00,-1.2
2014-06-05 12:00:00,-1.4
2014-06-09 12:00:00,-1.7
2014-06-11 12:00:00,-1.6
2014-06-13 12:00:00,-1.4
2014-06-18 12:00:00,-1.8
2014-06-24 12:00:00,-2.3
2014-06-27 12:00:00,-2.6
2014-07-08 12:00:00,-3.3
2014-07-14 12:00:00,-3.5
2014-07-17 12:00:00,-4
2014-07-22 12:00:00,-4.4
2014-07-29 12:00:00,-4.5
2014-08-06 12:00:00,-5.4
2014-08-11 12:00:00,-5.3
2014-08-15 12:00:00,-5.4
2014-08-21 12:00:00,-5.5
2014-08-28 12:00:00,-5.5
2014-09-05 12:00:00,-5.7
2014-09-15 12:00:00,-5.8
2014-09-25 12:00:00,-5.8
2014-10-01 12:00:00,-6
2014-10-09 12:00:00,-6
2014-10-16 12:00:00,-5.8
2014-11-05 12:00:00,-6
2014-11-12 12:00:00,-6.2
2014-11-21 12:00:00,-6.2
2014-12-05 12:00:00,-6
2014-12-18 12:00:00,-6.2
2015-01-08 12:00:00,-6.2
2015-01-22 12:00:00,-6.2
2015-02-12 12:00:00,-0.63
2015-03-09 12:00:00,-5.6
2015-03-18 12:00:00,-5.9
2015-03-27 12:00:00,-6
2015-04-03 12:00:00,-6.1
2015-04-20 12:00:00,-5.3
2015-05-01 12:00:00,-5.8
2015-05-15 12:00:00,-6
2015-05-26 12:00:00,-5.62
2015-05-27 12:00:00,-5.64
2015-06-11 12:00:00,-6.1
2015-06-18 12:00:00,-6
2015-06-23 12:00:00,-6.1
2015-07-03 12:00:00,-5.72
2015-07-07 12:00:00,-5.8
2015-07-21 12:00:00,-5.67
2015-07-29 12:00:00,-5.9
2015-08-11 12:00:00,-6
2015-08-20 12:00:00,-6.2
2015-08-27 12:00:00,-6.2
2015-09-03 12:00:00,-6.2
2015-09-11 12:00:00,-6.2
2015-09-22 12:00:00,-6
2015-09-28 12:00:00,-5.8
2015-10-02 12:00:00,-4.8
2015-10-05 12:00:00,-4.5
2015-10-09 12:00:00,-4.7
2015-10-16 12:00:00,-5.2
2015-10-22 12:00:00,-5.7
2015-10-29 12:00:00,-5.4
2015-11-10 12:00:00,-5.8
2015-11-17 12:00:00,-5.5
#VALUE!,-5.7
2015-12-03 12:00:00,-5.6
2015-12-11 12:00:00,-5.7
2015-12-16 12:00:00,-5.8
2015-12-22 12:00:00,-5.6
2015-12-30 12:00:00,-5.7
2016-01-07 12:00:00,-5.7
2016-01-20 12:00:00,-5.8
2016-02-04 12:00:00,-5.6
2016-02-12 12:00:00,-5.5
2016-02-24 12:00:00,-4.4
2016-02-25 12:00:00,-4.2
2016-03-02 12:00:00,-4.9
2016-03-08 12:00:00,-4.2
2016-03-17 12:00:00,-4
2016-03-23 12:00:00,-4.2
2016-04-01 12:00:00,-4.5
2016-04-08 12:00:00,-4.6
2016-04-14 12:00:00,-4.8
2016-04-28 12:00:00,-5.2
2016-05-12 12:00:00,-4.7
2016-05-26 12:00:00,-5.4
2016-06-10 12:00:00,-5.5
2016-06-29 12:00:00,-5.7
2016-07-13 12:00:00,-5.6
2016-07-25 12:00:00,-6
2016-08-12 12:00:00,-5.7
2016-08-25 12:00:00,-6
2016-09-30 12:00:00,-4.5
2016-10-06 12:00:00,-4.2
2016-10-12 12:00:00,-3.2
2016-10-20 12:00:00,-3.4
2016-10-27 12:00:00,-4.2
2016-11-04 12:00:00,-4.8
2016-11-10 12:00:00,-5.2
2016-11-16 12:00:00,-5.8
2016-11-30 12:00:00,-6
2016-12-09 12:00:00,-5.9
2016-12-14 12:00:00,-6.3
2016-12-21 12:00:00,-6.5
2016-12-28 12:00:00,-6.6
2017-01-06 12:00:00,-6.8
2017-01-11 12:00:00,-6.8
2017-01-18 12:00:00,-6.9
2017-01-26 12:00:00,-6.4
2017-02-03 12:00:00,-6.6
2017-02-24 12:00:00,-6.6
2017-03-09 12:00:00,-6.7
2017-03-17 12:00:00,-7
2017-04-07 12:00:00,-7
2017-04-14 12:00:00,-7
2017-04-19 12:00:00,-7.1
2017-04-27 12:00:00,-5.9
2017-05-19 12:00:00,-6
2017-06-02 12:00:00,-5.8
2017-06-08 12:00:00,-6
2017-06-16 12:00:00,-6
2017-06-23 12:00:00,-6.2
2017-06-29 12:00:00,-6.8
2017-07-07 12:00:00,-8.3
2017-07-14 12:00:00,-10
2017-07-19 12:00:00,-10.6
2017-07-28 12:00:00,-10.7
2017-08-10 12:00:00,-10.3
2017-08-18 12:00:00,-10.1
2017-08-25 12:00:00,-10
2017-08-30 12:00:00,-10
2017-09-07 12:00:00,-9.8
2017-09-13 12:00:00,-9.7
2017-09-22 12:00:00,-9.6
2017-09-27 12:00:00,-9.6
2017-10-06 12:00:00,-9.5
2017-10-12 12:00:00,-9.3
2017-10-20 12:00:00,-9.2
2017-10-27 12:00:00,-9
2017-11-03 12:00:00,-8.9
2017-11-14 12:00:00,-8.7
2017-12-01 12:00:00,-8.6
2017-12-06 12:00:00,-8.6
2017-12-12 12:00:00,-8.5
2017-12-20 12:00:00,-8.4
2017-12-28 12:00:00,-8.4
2018-01-05 12:00:00,-8.4
2018-01-24 12:00:00,-8
2018-02-16 12:00:00,-7.8
2018-03-02 12:00:00,-7.2
2018-03-08 12:00:00,-6.2
2018-03-15 12:00:00,-6.3
2018-03-23 12:00:00,-6
2018-03-29 12:00:00,-6
2018-04-05 12:00:00,-6.1
2018-04-13 12:00:00,-6.2
2018-04-20 12:00:00,-6.2
2018-04-26 12:00:00,-5.7
2018-05-04 12:00:00,-5.9
2018-05-10 12:00:00,-6
2018-05-17 12:00:00,-5.8
2018-05-18 12:00:00,-5
2018-05-24 12:00:00,-4
2018-06-01 12:00:00,-4
2018-06-07 12:00:00,-4.7
2018-06-15 12:00:00,-5
2018-06-21 12:00:00,-5.6
2018-06-28 12:00:00,-6
2018-07-02 12:00:00,-6.2
2018-07-05 12:00:00,-6.3
2018-07-13 12:00:00,-6.7
2018-07-17 12:00:00,-6.9
2018-07-26 12:00:00,-6.8
2018-08-03 12:00:00,-6.9
2018-08-07 12:00:00,-6.9
2018-08-14 12:00:00,-7
2018-08-22 12:00:00,-7.2
2018-08-31 12:00:00,-7.6
2018-09-07 12:00:00,-9
2018-09-10 12:00:00,-8.6
2018-09-12 12:00:00,-8.2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
